file,task,model,seed,step,eval_return
atari.sh-15675036-0.out,,unknown,-1,6600704,4.36
atari.sh-15675036-0.out,,unknown,-1,6650880,5.56
atari.sh-15675036-0.out,,unknown,-1,6700032,4.84
atari.sh-15675036-0.out,,unknown,-1,6750208,4.2
atari.sh-15675036-0.out,,unknown,-1,6800384,4.36
atari.sh-15675036-0.out,,unknown,-1,6850560,4.44
atari.sh-15675036-0.out,,unknown,-1,6900736,5.24
atari.sh-15675036-0.out,,unknown,-1,6950912,5.36
atari.sh-15675036-0.out,,unknown,-1,7000064,5.52
atari.sh-15675036-0.out,,unknown,-1,7050240,4.8
atari.sh-15675036-0.out,,unknown,-1,7100416,4.44
atari.sh-15675036-0.out,,unknown,-1,7150592,5.76
atari.sh-15675036-0.out,,unknown,-1,7200768,5.76
atari.sh-15675036-0.out,,unknown,-1,7250944,4.96
atari.sh-15675036-0.out,,unknown,-1,7300096,5.2
atari.sh-15675036-0.out,,unknown,-1,7350272,5.28
atari.sh-15675036-0.out,,unknown,-1,7400448,5.64
atari.sh-15675036-0.out,,unknown,-1,7450624,5.16
atari.sh-15675036-0.out,,unknown,-1,7500800,5.32
atari.sh-15675036-0.out,,unknown,-1,7550976,4.76
atari.sh-15675036-0.out,,unknown,-1,7600128,5.32
atari.sh-15675036-0.out,,unknown,-1,7650304,5.48
atari.sh-15675036-0.out,,unknown,-1,7700480,4.56
atari.sh-15675036-0.out,,unknown,-1,7750656,5.6
atari.sh-15675036-0.out,,unknown,-1,7800832,4.76
atari.sh-15675036-0.out,,unknown,-1,7851008,5.32
atari.sh-15675036-0.out,,unknown,-1,7900160,6.36
atari.sh-15675036-0.out,,unknown,-1,7950336,5.64
atari.sh-15675036-0.out,,unknown,-1,8000512,4.88
atari.sh-15675036-0.out,,unknown,-1,8050688,5.36
atari.sh-15675036-0.out,,unknown,-1,8100864,5.4
atari.sh-15675036-0.out,,unknown,-1,8150016,4.96
atari.sh-15675036-0.out,,unknown,-1,8200192,5.28
atari.sh-15675036-0.out,,unknown,-1,8250368,5.6
atari.sh-15675036-0.out,,unknown,-1,8300544,4.92
atari.sh-15675036-0.out,,unknown,-1,8350720,4.72
atari.sh-15675036-0.out,,unknown,-1,8400896,4.92
atari.sh-15675036-0.out,,unknown,-1,8450048,4.96
atari.sh-15675036-0.out,,unknown,-1,8500224,5.6
atari.sh-15675036-0.out,,unknown,-1,8550400,5.6
atari.sh-15675036-0.out,,unknown,-1,8600576,4.76
atari.sh-15675036-0.out,,unknown,-1,8650752,6.24
atari.sh-15675036-0.out,,unknown,-1,8700928,3.96
atari.sh-15675036-0.out,,unknown,-1,8750080,5.48
atari.sh-15675036-0.out,,unknown,-1,8800256,4.96
atari.sh-15675036-0.out,,unknown,-1,8850432,3.8
atari.sh-15675036-0.out,,unknown,-1,8900608,5.16
atari.sh-15675036-0.out,,unknown,-1,8950784,5.6
atari.sh-15675036-0.out,,unknown,-1,9000960,4.92
atari.sh-15675036-0.out,,unknown,-1,9050112,4.88
atari.sh-15675036-0.out,,unknown,-1,9100288,5.72
atari.sh-15675036-0.out,,unknown,-1,9150464,4.0
atari.sh-15675036-0.out,,unknown,-1,9200640,6.2
atari.sh-15675036-0.out,,unknown,-1,9250816,5.36
atari.sh-15675036-0.out,,unknown,-1,9300992,5.8
atari.sh-15675036-0.out,,unknown,-1,9350144,6.32
atari.sh-15675036-0.out,,unknown,-1,9400320,4.28
atari.sh-15675036-0.out,,unknown,-1,9450496,5.16
atari.sh-15675036-0.out,,unknown,-1,9500672,5.72
atari.sh-15675036-0.out,,unknown,-1,9550848,5.76
atari.sh-15675036-0.out,,unknown,-1,9600000,5.0
atari.sh-15675036-0.out,,unknown,-1,9650176,4.8
atari.sh-15675036-0.out,,unknown,-1,9700352,5.96
atari.sh-15675036-0.out,,unknown,-1,9750528,5.4
atari.sh-15675036-0.out,,unknown,-1,9800704,5.72
atari.sh-15675036-0.out,,unknown,-1,9850880,5.6
atari.sh-15675036-0.out,,unknown,-1,9900032,6.2
atari.sh-15675036-0.out,,unknown,-1,9950208,5.48
atari.sh-15675252-1.out,,unknown,-1,1024,0.52
atari.sh-15675252-1.out,,unknown,-1,50176,1.68
atari.sh-15675252-1.out,,unknown,-1,100352,2.56
atari.sh-15675252-1.out,,unknown,-1,150528,2.84
atari.sh-15675252-1.out,,unknown,-1,200704,2.92
atari.sh-15675252-1.out,,unknown,-1,250880,2.88
atari.sh-15675252-1.out,,unknown,-1,300032,2.8
atari.sh-15675252-1.out,,unknown,-1,350208,2.84
atari.sh-15675252-1.out,,unknown,-1,400384,3.16
atari.sh-15675252-1.out,,unknown,-1,450560,3.28
atari.sh-15675252-1.out,,unknown,-1,500736,3.32
atari.sh-15675252-1.out,,unknown,-1,550912,3.08
atari.sh-15675252-1.out,,unknown,-1,600064,2.56
atari.sh-15675252-1.out,,unknown,-1,650240,3.28
atari.sh-15675252-1.out,,unknown,-1,700416,3.92
atari.sh-15675252-1.out,,unknown,-1,750592,3.36
atari.sh-15675252-1.out,,unknown,-1,800768,3.84
atari.sh-15675252-1.out,,unknown,-1,850944,3.04
atari.sh-15675252-1.out,,unknown,-1,900096,3.28
atari.sh-15675252-1.out,,unknown,-1,950272,3.52
atari.sh-15675252-1.out,,unknown,-1,1000448,3.72
atari.sh-15675252-1.out,,unknown,-1,1050624,3.72
atari.sh-15675252-1.out,,unknown,-1,1100800,3.84
atari.sh-15675252-1.out,,unknown,-1,1150976,3.48
atari.sh-15675252-1.out,,unknown,-1,1200128,3.84
atari.sh-15675252-1.out,,unknown,-1,1250304,3.8
atari.sh-15675252-1.out,,unknown,-1,1300480,4.24
atari.sh-15675252-1.out,,unknown,-1,1350656,3.64
atari.sh-15675252-1.out,,unknown,-1,1400832,3.88
atari.sh-15675252-1.out,,unknown,-1,1451008,3.6
atari.sh-15675252-1.out,,unknown,-1,1500160,3.88
atari.sh-15675252-1.out,,unknown,-1,1550336,3.64
atari.sh-15675252-1.out,,unknown,-1,1600512,4.4
atari.sh-15675252-1.out,,unknown,-1,1650688,3.68
atari.sh-15675252-1.out,,unknown,-1,1700864,3.88
atari.sh-15675252-1.out,,unknown,-1,1750016,3.6
atari.sh-15675252-1.out,,unknown,-1,1800192,3.8
atari.sh-15675252-1.out,,unknown,-1,1850368,3.32
atari.sh-15675252-1.out,,unknown,-1,1900544,4.52
atari.sh-15675252-1.out,,unknown,-1,1950720,3.84
atari.sh-15675252-1.out,,unknown,-1,2000896,4.68
atari.sh-15675252-1.out,,unknown,-1,2050048,4.0
atari.sh-15675252-1.out,,unknown,-1,2100224,4.68
atari.sh-15675252-1.out,,unknown,-1,2150400,4.24
atari.sh-15675252-1.out,,unknown,-1,2200576,4.32
atari.sh-15675252-1.out,,unknown,-1,2250752,4.12
atari.sh-15675252-1.out,,unknown,-1,2300928,4.08
atari.sh-15675252-1.out,,unknown,-1,2350080,3.92
atari.sh-15675252-1.out,,unknown,-1,2400256,4.68
atari.sh-15675252-1.out,,unknown,-1,2450432,4.68
atari.sh-15675252-1.out,,unknown,-1,2500608,3.72
atari.sh-15675252-1.out,,unknown,-1,2550784,4.8
atari.sh-15675252-1.out,,unknown,-1,2600960,4.76
atari.sh-15675252-1.out,,unknown,-1,2650112,4.72
atari.sh-15675252-1.out,,unknown,-1,2700288,4.24
atari.sh-15675252-1.out,,unknown,-1,2750464,4.48
atari.sh-15675252-1.out,,unknown,-1,2800640,4.64
atari.sh-15675252-1.out,,unknown,-1,2850816,5.04
atari.sh-15675252-1.out,,unknown,-1,2900992,4.16
atari.sh-15675252-1.out,,unknown,-1,2950144,3.84
atari.sh-15675252-1.out,,unknown,-1,3000320,4.92
atari.sh-15675252-1.out,,unknown,-1,3050496,4.4
atari.sh-15675252-1.out,,unknown,-1,3100672,4.32
atari.sh-15675252-1.out,,unknown,-1,3150848,4.68
atari.sh-15675252-1.out,,unknown,-1,3200000,4.6
